State,Source,Fidelity,Trace_Distance,Shots
|0⟩,Reference,0.9913586169252416,0.009530148241444998,1024
|1⟩,Reference,0.9894064202886393,0.015488657393569406,1024
|+⟩,Reference,0.9994378672669619,0.008352603813397842,1024
|-⟩,Reference,0.9998507391403573,0.012217255242076584,1024
|φ⟩,Reference,0.9996012689710497,0.019968255562123324,1024
R0,YOUR Task 3,1.0000000002,1e-05,1024
R1,YOUR Task 3,1.0000000002000005,1e-05,1024
R2,YOUR Task 3,1.0000000002,1e-05,1024
R3,YOUR Task 3,1.000000000200001,1e-05,1024
R4,YOUR Task 3,1.0000000002000013,1e-05,1024
